"ID"	"Study.name"	"Outcome"	"PERSON"	"Sample.size"	"Correlation"	"Fisher.s.Z"	"Std.Err"	"Full.Reference"	"Long.Dup"	"raw.r."	"Study"	"SEX"	"Best."	"AGE"	"East.West"	"setting2"	"Setting"	"1st"	"2nd"	"3rd"	"4th"	"aveORonlyR"	"aveDVs"	"Country"	"Pub"	"z"	"t"	"df"	"d_est"	"p.onetail"	"p.twotail"
"70"	"B06AA"	"AggAff"	"Third"	100	0.181	0.183016366172146	0.101534616513362	"Brady, S. (2006). Impact of violence exposure on hostility, physiological arousal, and health in youth. Dissertation Abstracts International: Section B: The Sciences and Engineering Vol 66(9-B), 2006, pp. 5079."	"NB"	"y"	1	"M"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.181"	"."	"US"	"Dissertation (unpub)"	1.80250216583091	1.82190074331056	98	0.368079534355346	0.0357601199473147	0.0715202398946294
"71"	"B06AB"	"AggBeh"	"Third"	100	0.208	0.211079993340167	0.101534616513362	"Brady, S. (2006). Impact of violence exposure on hostility, physiological arousal, and health in youth. Dissertation Abstracts International: Section B: The Sciences and Engineering Vol 66(9-B), 2006, pp. 5079."	"NB"	"y"	1	"M"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.208"	"."	"US"	"Dissertation (unpub)"	2.07889683921137	2.1051367594462	98	0.425301850836994	0.0189183575790961	0.0378367151581922
"72"	"B06AC"	"AggCog"	"Third"	100	0.133	0.133792642123732	0.101534616513362	"Brady, S. (2006). Impact of violence exposure on hostility, physiological arousal, and health in youth. Dissertation Abstracts International: Section B: The Sciences and Engineering Vol 66(9-B), 2006, pp. 5079."	"NB"	"y"	1	"M"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.133"	"."	"US"	"Dissertation (unpub)"	1.31770470720323	1.32843458950528	98	0.268384316171987	0.0935599194140614	0.187119838828123
"73"	"B06PA"	"PhysArous"	"Third"	100	0.1346	0.135421808550841	0.101534616513362	"Brady, S. (2006). Impact of violence exposure on hostility, physiological arousal, and health in youth. Dissertation Abstracts International: Section B: The Sciences and Engineering Vol 66(9-B), 2006, pp. 5079."	"NB"	"y"	1	"M"	"n"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.1346"	"."	"US"	"Dissertation (unpub)"	1.33375013567929	1.34470884863463	98	0.27167221302603	0.0909116584397918	0.181823316879584
"74"	"B07AA"	"AggAff"	"."	103	0.167	0.168578995059857	0.1	"Bacchus, J. (2007). Cumulative use of multiplayer online first-person shooter video games and self-reported aggression: A correlational study. Dissertation Abstracts International: Section B: The Sciences and Engineering Vol 67(11-B), 2007, pp. 6729."	"NB"	"y"	1	"MF"	"n"	"Adult"	"West"	"Nonexp"	"Nonexp"	"."	"."	"."	"."	"0.167"	"."	"US"	"Dissertation (unpub)"	1.68578995059857	1.70223387675544	101	0.338757202761399	0.0458938013502159	0.0917876027004318
"75"	"B07AB"	"AggBeh"	"."	179	0.05	0.0500417292784913	0.0753778361444409	"Brady, S. S. (2007). Young adults' media use and attitudes toward interpersonal and institutional forms of aggression. Aggressive Behavior, 33, 519-525."	"NB"	"y"	1	"M"	"n"	"Adult"	"West"	"Nonexp"	"NonexpS"	"."	"."	"."	"."	"0.05"	"."	"US"	"Journal"	0.663878559509192	0.666039805534467	177	0.100125234864352	0.253126387611926	0.506252775223851
"76"	"B07AC"	"AggCog"	"."	179	0.0827	0.0828893139006213	0.0753778361444409	"Brady, S. S. (2007). Young adults' media use and attitudes toward interpersonal and institutional forms of aggression. Aggressive Behavior, 33, 519-525."	"NB"	"y"	1	"M"	"n"	"Adult"	"West"	"Nonexp"	"NonexpS"	"0.100000"	"0.140000"	"0.060000"	"0.030000"	"0.0827"	"many"	"US"	"Journal"	1.0996510133534	1.10403382050418	177	0.16596852719255	0.135538553964475	0.27107710792895
"77"	"B87AB"	"AggBeh"	"Third"	32	0.07	0.0701146706543252	0.185695338177052	"Brusa, J. A. (1987). Effects of video game playing on children's social behavior. Dissertation: De Paul University, Chicago, IL."	"NB"	"y"	1	"MF"	"n"	"Child"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.07"	"."	"US"	"Dissertation (unpub)"	0.377579056871498	0.38434860068636	30	0.14034426569431	0.351715554456654	0.703431108913308
"78"	"B87PB"	"ProsBeh"	"Third"	32	-0.148	-0.149095025025098	0.185695338177052	"Brusa, J. A. (1987). Effects of video game playing on children's social behavior. Dissertation: De Paul University, Chicago, IL."	"NB"	"y"	1	"MF"	"n"	"Child"	"West"	"Exp"	"Exp"	"-0.553000"	"0.343000"	"."	"."	"-0.148"	"phys, verb coop"	"US"	"Dissertation (unpub)"	-0.802901281683995	-0.819655960393893	30	-0.299296039267531	0.790561557417226	0.418876885165547
"81"	"BA02AC"	"AggCog"	"both"	224	0.1804	0.18239611335202	0.0672672793996312	"Bushman, B. J. & Anderson, C. A.  (2002). Violent video games and hostile expectations: A test of the General Aggression Model. PSPB, 28, 1679-1686."	"Exp"	"y"	1	"MF"	"y"	"Adult"	"West"	"Exp"	"Exp"	"."	"."	"."	"."	"0.1804"	"."	"US"	"Journal"	2.71151316033483	2.73273453447169	222	0.366818266020631	0.00339347937120446	0.00678695874240891
